"sample_id"	"PGS000163"	"PGS000164"	"PGS000165"	"PGS000166"	"PGS000167"	"PGS000168"	"PGS000169"	"PGS000170"	"PGS000171"	"PGS000172"	"PGS000173"	"PGS000174"	"PGS000175"	"PGS000176"	"PGS000177"	"PGS000178"	"PGS000179"	"PGS000180"	"PGS000181"	"PGS000182"	"PGS000183"	"PGS000184"	"PGS000185"	"PGS000186"	"PGS000187"	"PGS000188"	"PGS000189"	"PGS000190"	"PGS000191"
"GTEX-12WSK"	0.1243878	0.8168362	-3.7196529	-2.9735137	0.1294842	1.9534215	4.5731495	4.7930523	2.7456532	-0.0739237	0.1496589	2.8729816	2.1674499	2.7466156	0.5837453	-0.1075019	1.1813612	-0.5025725	0.1377609	-1.1224395	-0.0961250999999999	3.0382933	2.6943967	0.9823316	0.3674453	0.7434996	4.7866632	4.9131421	-0.9458322
"GTEX-12WSL"	0.363048	0.8640317	-3.9512787	-3.0717049	-0.3902054	1.5763535	4.3630802	4.593779	2.6369312	-0.3313691	0.0775637	3.1270747	1.9037286	2.4600451	1.3918234	0.6149191	-0.0458927	-0.4552797	0.0064934000000001	-0.7517153	-0.1510733	2.7824718	1.8403353	1.21567	0.5747832	0.8446231	4.3714321	4.6114653	-0.4611775
"GTEX-12WSM"	0.4116169	0.8199065	-4.2104145	-3.3601876	0.1084231	1.8320178	4.3138395	4.4459997	3.040022	0.13717	-0.0431625	2.5293033	1.8151515	2.3408944	1.4636416	0.9384671	0.127133	-0.8801601	0.3265152	-0.8700597	0.2101238	2.8811301	1.8716675	1.4656715	1.1855745	0.4776024	4.2536608	4.2477587	-0.6689865
"GTEX-12WSN"	0.3057533	0.91723	-4.3582692	-3.7140145	-0.0242526000000001	1.5158434	4.1317966	4.3344199	2.8412287	-0.0462105	-0.1607826	2.6249148	1.5811215	2.454863	1.2503274	0.3358469	0.6942766	-0.4986273	0.3638755	-0.8373743	-0.0118339999999999	3.2584224	2.2765535	1.2122774	0.8521124	1.2106749	4.554058	4.6677942	-0.4147189
"GTEX-12ZZW"	0.5619959	0.9386579	-3.7163922	-3.5521687	-0.2763187	1.6991716	3.7409013	4.1267706	1.9171347	0.185839	-0.3097024	3.0027189	2.0813177	2.5968258	1.1286358	0.0995773	0.414169	-0.0204647	0.1575939	-0.5547519	-0.0487284	2.3714079	2.4957025	0.8164415	0.4205575	0.8308364	4.0954585	4.1464898	-0.1458931
"GTEX-12ZZX"	0.2769942	1.0137631	-3.8908498	-3.4504093	-0.3315594	1.4141867	4.3509475	4.2456691	2.7023116	-0.2818141	0.0298626	2.7046424	1.929386	2.4204429	1.2263985	-0.2129916	0.6668632	-0.7216095	0.2417831	-0.5264808	0.0430352000000001	2.0069715	1.822562	0.5421789	0.4358851	0.8435921	4.3985653	4.6122521	-0.4755425
"GTEX-12ZZY"	0.3383391	0.9219701	-3.7376165	-3.1909813	0.3817875	2.0105366	5.2310529	5.2341528	2.9945097	-0.2568458	-0.0993173	2.4337612	2.3022747	1.8652815	0.5025989	-0.3777948	0.80044	-1.0451646	-0.883454	-1.0245599	0.2454793	2.8861144	2.2623196	1.1957684	1.1378181	1.0877186	5.0636991	5.2114249	-0.5589625
"GTEX-12ZZZ"	0.4210609	0.9185592	-3.6485626	-3.217604	0.2491218	1.5714835	4.02668	4.2400283	2.7563713	0.1628605	0.3758493	3.2933906	1.8433697	3.0708347	1.6132619	0.6280966	0.5740254	-0.6559622	0.6282093	-1.0088293	-0.3219773	3.3407723	2.604532	1.1415599	0.6412558	1.0676806	3.9589679	4.257971	-0.8597389
"GTEX-13111"	0.3398844	0.8464903	-3.9584154	-3.5586042	-0.5238224	1.1007863	4.0791229	4.4411577	2.4148486	-0.3127699	0.0748675	2.1256507	1.686104	1.8938452	0.7980774	-0.3447036	0.5346285	-1.6904802	-0.7811797	-1.1319477	-0.303546	2.8606579	2.9261898	1.0398311	0.6461347	0.64726	4.5293763	4.629202	-1.2813867
"GTEX-13112"	0.3661704	1.0538041	-3.9645298	-3.3210594	-0.0743733	1.7045915	4.3336246	4.5137338	2.5242097	-0.450218	-0.177485	3.5632509	2.0912114	3.3722211	1.3211033	0.1065337	0.1052864	-0.45633	0.3478264	-0.8122986	0.0680848000000001	2.887908	2.671182	0.8741727	0.6948925	1.3426757	4.4647852	4.7756584	-0.8565874
